,empresa,correlacao_ibov
5,ITSA4.SA,0.8113038115618694
1,BBDC4.SA,0.7898831604174993
8,PETR4.SA,0.7422763763196955
0,B3SA3.SA,0.7244334215688731
2,BBSE3.SA,0.5969732065749643
12,VALE3.SA,0.5836692821466453
11,TOTS3.SA,0.504175429498342
3,BMOB3.SA,0.49911884202171225
6,LWSA3.SA,0.4909157120143913
7,MLAS3.SA,0.4825733857719809
4,INTB3.SA,0.47808997490506033
10,PSSA3.SA,0.4430985273928745
9,POSI3.SA,0.42609191629647314
