Date,B3SA3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LWSA3.SA,MLAS3.SA,PETR4.SA,POSI3.SA,PSSA3.SA,TOTS3.SA,VALE3.SA,^BVSP
2015-03-30,27870900,20418586,3393500,,,29433143,,,33372200,211900,1104600,1535769,4054400,2798500.0
2015-03-31,34534800,23138216,3797700,,,23273219,,,46908300,261200,1045200,3106490,5094700,3511300.0
2015-04-01,71051100,19430481,3196600,,,36828245,,,59374600,111900,528800,1385416,10595600,4411500.0
2015-04-02,83285400,16688529,7395800,,,34938703,,,69001800,311900,1680800,1646650,6519700,4266500.0
2015-04-06,63189600,12152554,6910300,,,27160953,,,45227600,368500,782800,1669851,4765200,3322100.0
2015-04-07,33727200,11705057,9798000,,,17424680,,,61721500,75200,1243200,1150395,11772400,3487100.0
2015-04-08,89329800,18838850,11010700,,,27864288,,,73904600,105500,1162400,1252238,6513500,4780400.0
2015-04-09,41054100,22461125,2932700,,,37787672,,,79280800,99500,1312600,1923553,8139900,4338300.0
2015-04-10,66959100,14701263,4725000,,,31032715,,,70021600,136800,1041200,1251334,4013700,3683000.0
2015-04-13,27767100,17276971,4571700,,,22631144,,,104809600,160000,1371800,1280561,4761800,3660300.0
2015-04-14,25268400,18194923,6985000,,,13406354,,,87127100,69500,873600,1237775,6921500,3747100.0
2015-04-15,37895100,20660511,5428700,,,22301330,,,103042800,112100,1830600,1617424,8478900,4069600.0
2015-04-16,44035800,15907483,6399200,,,25565945,,,109852700,93400,1378400,1603262,5130500,4133000.0
2015-04-17,31774500,14982729,3457200,,,33203274,,,71274400,75600,2064200,834624,4104600,3537200.0
2015-04-20,41478600,11513304,2352100,,,11791160,,,52514600,39700,1293600,695721,3035100,2688000.0
2015-04-22,27351000,15283115,4261600,,,29776648,,,65914800,78400,1596000,2164600,7975100,3700600.0
2015-04-23,36217200,19526357,5184200,,,30857188,,,182613700,70500,1142400,2379433,8204400,5535100.0
2015-04-24,38462700,25262601,5474700,,,52945429,,,106143700,88800,951400,1173295,20963300,4982000.0
2015-04-27,54852300,23424996,6839900,,,31118196,,,53111300,57900,1167200,1336303,17059300,3854300.0
2015-04-28,76164900,17621150,3627200,,,35145298,,,60884300,131900,1311600,1758436,17206700,4082600.0
2015-04-29,57158100,27084474,2727900,,,21376481,,,35821900,77000,1348200,1099474,14041200,3888400.0
2015-04-30,43942500,19668578,6571600,,,28678379,,,48515300,85000,2062400,1322744,22251200,4947500.0
2015-05-04,43917900,15003350,2848400,,,17947222,,,55651100,76100,1690200,1537577,10121000,3492600.0
2015-05-05,20166000,19453653,2590700,,,27369192,,,76329800,189000,1839000,893379,14709800,3903800.0
2015-05-06,18460200,18592674,4065500,,,27234994,,,72197500,55300,2285600,1986828,17730800,4598400.0
2015-05-07,26949600,10514356,9108800,,,13807065,,,44978900,773000,1525400,2706051,12752400,3065100.0
2015-05-08,21491100,11142551,8280100,,,21659318,,,43687900,35200,939600,1952780,10498300,3410900.0
2015-05-11,16797900,13034153,9474900,,,15471215,,,28040500,46700,829400,2114884,8290200,2966300.0
2015-05-12,35350200,8403364,3947500,,,13399844,,,30765100,134600,1763200,815642,6338600,3087600.0
2015-05-13,32409000,12926159,3665900,,,19244873,,,45346800,443600,802800,868973,9515000,3071700.0
2015-05-14,23275500,11470148,3710800,,,14561350,,,49457700,150600,914400,840650,7312900,3209800.0
2015-05-15,27859800,12489930,2929600,,,14639220,,,54224100,588400,848800,2308927,5580200,2894400.0
2015-05-18,37647300,19821003,4123900,,,23417614,,,82200400,525100,929200,1945850,10128900,3778400.0
2015-05-19,19414500,12522881,4834600,,,14453481,,,70521100,401100,726800,1313102,12234100,3223000.0
2015-05-20,40229400,26212441,6134800,,,28263578,,,43164900,248000,1739200,1409219,6727500,3278700.0
2015-05-21,32730300,29149760,3038500,,,35175010,,,53682900,161200,949400,1719567,3455300,3303700.0
2015-05-22,37187700,39888821,5692900,,,47369147,,,53753700,63200,1569800,3536759,6084100,3689100.0
2015-05-25,8910900,9096611,2219700,,,29934909,,,24377600,101200,630200,496857,1530500,1604600.0
2015-05-26,44069700,28443333,3003000,,,27305683,,,44844200,501400,568600,1450197,6830900,3324200.0
2015-05-27,34619700,32395118,4345100,,,48537994,,,47223300,207900,1097800,1652375,4667900,3475600.0
2015-05-28,49463400,29737777,4593200,,,43737187,,,96419400,156500,1468800,1736139,6352000,2914500.0
2015-05-29,57883500,32101110,4494500,,,44659818,,,75971600,112600,991200,2719610,8707400,5553300.0
2015-06-01,32675100,13990584,4630700,,,21977819,,,40498000,160700,1002600,1681000,6876000,2675400.0
2015-06-02,76496100,20936662,5913100,,,29105467,,,47041600,343900,1195200,1756327,5829100,3476000.0
2015-06-03,66949200,41764479,11277200,,,27844868,,,90062100,128700,982400,1264290,8682100,3317500.0
2015-06-05,53925000,18683449,3470800,,,25819772,,,36719100,955800,904800,784607,6084100,2729100.0
2015-06-08,31019100,17814817,6108200,,,41608850,,,23667600,478600,411400,960571,7132000,2582500.0
2015-06-09,25707000,23087620,4341200,,,58468798,,,88228800,263200,1148200,1673166,6456600,3678000.0
2015-06-10,87623400,23233668,4742800,,,44679604,,,45583600,190800,1115400,750258,5297600,3587500.0
2015-06-11,22448100,20572500,3830400,,,51613695,,,35341600,750400,1245600,852100,6340600,3093500.0
2015-06-12,45711900,35310541,6020800,,,43204385,,,30067700,112900,1593200,1777418,3608400,2379500.0
2015-06-15,29837100,20218117,4063100,,,24918843,,,31713200,134100,651800,2465908,4450900,2607700.0
2015-06-16,28959000,19183879,4312500,,,37760833,,,49988000,112200,1036000,2751850,8169800,3280300.0
2015-06-17,35743800,19279756,2463400,,,27047180,,,40920200,179700,1249800,1106103,5554800,2993200.0
2015-06-18,32027100,17977446,4174800,,,32032449,,,26832100,179600,927800,1579157,5554500,2665000.0
2015-06-19,28550400,21684544,2962800,,,26553473,,,36247800,177800,1289800,2031723,3160600,2948200.0
2015-06-22,33351300,19966413,4971000,,,24274502,,,22567300,112500,724000,655647,5151000,2354400.0
2015-06-23,29058300,13328374,4028100,,,33407459,,,48007400,211300,891600,2329114,2995400,2625300.0
2015-06-24,44098200,9300907,2648700,,,24986820,,,39613200,67700,1111800,1418861,2893300,2731100.0
2015-06-25,29340600,19715135,4314200,,,23461815,,,48369000,72900,1402600,1021737,5130300,3234900.0
2015-06-26,17137800,14292245,4481900,,,19568639,,,34536800,102100,1022800,4721805,2998200,2705400.0
2015-06-29,21597900,14630046,2804800,,,14499756,,,63175500,120300,872800,1176308,2960000,2550600.0
2015-06-30,30503400,13637476,7444600,,,23929672,,,32876500,209800,1863000,3471676,5353300,3021100.0
2015-07-01,17987400,15810544,5006900,,,17070739,,,62627200,156300,691800,1530044,2518000,2714000.0
2015-07-02,24940200,13834119,2328200,,,15086174,,,37421500,53700,940000,3226712,4323900,2998100.0
2015-07-03,10749600,5045334,3327500,,,11864467,,,31574500,66900,405800,847279,1949700,1498600.0
2015-07-06,18789300,16594566,4753400,,,20135111,,,51206800,62300,890000,1710227,4699200,2573500.0
2015-07-07,31836000,20006805,2950400,,,25168888,,,72452800,389000,684000,2235407,8085300,3538900.0
2015-07-08,19153800,11750551,2936600,,,21853514,,,44001500,58500,753200,1636105,8525700,2880300.0
2015-07-10,16468200,16122409,2399300,,,25899717,,,30885900,55000,681200,1268207,4808900,2678700.0
2015-07-13,16408800,15811819,3122200,,,15419993,,,29585400,53800,570400,1041020,11273000,2606900.0
2015-07-14,19975500,13277778,2605600,,,14850171,,,37058500,36400,946800,1052470,5417700,2740900.0
2015-07-15,22539300,12485678,2354000,,,13854138,,,33375100,55300,1071800,2295066,6598400,2533600.0
2015-07-16,13101900,13914265,1864900,,,12519659,,,26442500,68900,1306000,714703,2990000,2075700.0
2015-07-17,34200300,12068369,2670200,,,15409461,,,39929900,32500,976000,796960,2920800,2440800.0
2015-07-20,43453200,9628079,2804900,,,17956349,,,48763200,73600,1248600,766227,3592000,2635000.0
2015-07-21,45100800,13290534,4151000,,,25781635,,,40357600,143100,758200,563748,5947000,2942600.0
2015-07-22,35189700,12381085,5106200,,,32322227,,,30155200,46500,1046400,976540,8000200,3123300.0
2015-07-23,46717200,29973961,9817800,,,58469117,,,50696500,73500,1320800,1792484,6047000,4181500.0
2015-07-24,42786600,26456491,6883600,,,58547306,,,45143700,144700,795600,1975679,5779600,3632500.0
2015-07-27,27953700,20744695,6693500,,,55537986,,,54768800,129800,1066000,3169162,6410300,3489100.0
2015-07-28,37733400,24679687,3832800,,,65142152,,,72306100,92500,1835400,2227875,11251300,4137600.0
2015-07-29,46884000,15997408,4275900,,,55828243,,,88194700,46500,879800,3042311,7374700,3746800.0
2015-07-30,26360700,18398794,3896500,,,22082975,,,47498400,298200,711200,1960614,10051000,3261200.0
2015-07-31,24563400,15595618,4368300,,,33462191,,,37462200,37200,1189800,2767518,8740700,3142200.0
2015-08-03,17494500,36725735,2127000,,,27179464,,,41499600,47700,1028200,1481533,4459200,2613200.0
2015-08-04,16864500,25414601,1830900,,,44555300,,,30786900,106200,1281200,824982,3890900,2670400.0
2015-08-05,16104000,20182402,2792500,,,23215599,,,43759700,49100,1768200,1717759,7956400,2662100.0
2015-08-06,32209200,16584149,3121300,,,64999976,,,60293400,84200,1222800,3120049,10318000,3640800.0
2015-08-07,30026400,22152661,4242100,,,44527535,,,65832700,106800,606200,2066373,6786600,3218400.0
2015-08-10,36293700,12383211,5302400,,,38718090,,,51017800,87600,2080200,1907282,12030800,2842100.0
2015-08-11,33337800,17974895,5569700,,,43540119,,,45648700,84200,1577600,1630380,11728600,3288000.0
2015-08-12,60896100,31201015,6196900,,,76656045,,,40039100,34700,1819000,1580363,12862900,4234500.0
2015-08-13,55377900,23494300,2543900,,,51647843,,,31405700,34200,1394000,2118198,6140400,3186500.0
2015-08-14,127137000,24487295,2502900,,,21535492,,,28018600,37700,489200,2690986,6818300,2878900.0
2015-08-17,37902600,11664878,2411200,,,16020293,,,33125100,144700,803200,2735881,4345100,2411800.0
2015-08-18,49297500,39625213,3943600,,,53546081,,,38013600,293300,1175800,3080276,4570800,3544600.0
2015-08-19,33138000,26103597,3502000,,,35172297,,,37036000,174400,1841600,2223054,5287400,3236800.0
2015-08-20,37549800,28414421,3499200,,,28919409,,,38857700,329700,1607600,2077220,6276800,2945700.0
