Date,B3SA3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LWSA3.SA,MLAS3.SA,PETR4.SA,POSI3.SA,PSSA3.SA,TOTS3.SA,VALE3.SA,^BVSP
2015-01-05,-0.027340203145234554,0.0020623357504967466,-0.02998349860891547,,,0.00327176012782604,,,-0.08547016973167443,0.0492611055804828,-0.001935728462284958,-0.03072636332575296,-0.015037902844299178,-0.020510389182058053
2015-01-06,0.009730316538668626,0.03289691143491802,0.042459078509582415,,,0.0076086939647208585,,,-0.03271042343514152,-0.02816907473194541,-0.012604876829379164,-0.06253570396916275,0.04007671087897435,0.010185828229896776
2015-01-07,0.039613874926735626,0.0397411411495614,-0.01596601467183445,,,0.03775609177883976,,,0.04710150701686433,0.009661773553917063,0.0016368489874472036,-0.007070506180951841,0.03669706719071919,0.03045769879794169
2015-01-08,-0.013387574747947273,0.005149364475446783,-0.0029800676118516556,,,0.01039482540185288,,,0.06459072415074685,0.03827776471843869,-0.006536236810943286,0.023220037482790445,0.010619643516035726,0.00970422335887422
2015-01-09,-0.026096154627597845,-0.043419218538739646,-0.032547364662249056,,,-0.03497935634426408,,,0.030335891649931668,0.013824873032689533,-0.015460266382212318,-0.010287456408706985,-0.02145365714201286,-0.02208517710189617
2015-01-12,-0.028938800605518455,-0.01776142592144192,0.023000271036514697,,,-0.01705781582321808,,,-0.07045232101721166,0.0045454245117833025,-0.027731449457221613,0.06083720300259832,0.012974981803972607,-0.014332514332514368
2015-01-13,0.0022070812507037907,0.0031571179991025655,-0.020805427628355577,,,0.003253501846773421,,,0.02828078422972613,-0.018099506765047457,-0.014776586759713384,-0.03458177694273101,-0.005741950991877687,-0.0020357291233901176
2015-01-14,0.01982400625259695,0.010586990633729032,-0.017134894902700815,,,0.005406187732311274,,,-0.01980230283273765,0.0,0.024764481937514793,-0.007462963279588064,-0.08040858459332101,-0.008242787560884257
2015-01-15,-0.004319601419329189,-0.010192541576982683,0.01987432806137379,,,-0.0021510929313099947,,,0.04489333045422139,-0.05069138719636801,-0.03846135437038656,-0.01954864778116272,0.01159429598231565,0.007975485874994748
2015-01-16,0.030368449246738205,0.009725299942878074,0.03589755028588537,,,0.018319293897324007,,,0.013963498120868278,0.053398216884032124,0.017699025839883253,0.07361969813428004,0.044890057497811275,0.020634656227876524
