ticker,ano,ativo_total,passivo_total,patrimonio_liquido,divida_total,caixa,divida_longo_prazo,receita,ebitda,lucro_liquido,despesa_juros,endividamento_total,divida_patrimonio,cobertura_juros,ROA,ROE,margem_ebitda
BMOB3.SA,2025,1865280000.0,891923000.0,954572000.0,24771000.0,241156000.0,18857000.0,1696407000.0,269125000.0,156660000.0,1268000.0,0.013280043746783324,0.02594984977560624,212.243690851735,0.08398739063304168,0.16411543602787426,0.15864412254842145
BMOB3.SA,2024,1627212000.0,457173000.0,1166497000.0,7226000.0,378610000.0,0.0,1498065000.0,231819000.0,119467000.0,904000.0,0.004440724380105358,0.006194615159747518,256.4369469026549,0.07341821471326417,0.10241517980757774,0.15474562185218932
BMOB3.SA,2023,1443377000.0,357035000.0,1083608000.0,4271000.0,262973000.0,,1307844000.0,195466000.0,86600000.0,4911000.0,0.002959032879143841,0.003941462226192498,39.801669721034415,0.059998184812422535,0.07991819920118715,0.14945666302708885
BMOB3.SA,2022,1349318000.0,290792000.0,1058526000.0,4935000.0,359295000.0,,1475824000.0,211172000.0,85566000.0,11402000.0,0.0036574032214792954,0.004662143395627504,18.5206104192247,0.06341425816597718,0.08083504798181622,0.14308752263142488
PSSA3.SA,2025,55864993000.0,39993770000.0,15741223000.0,719917000.0,1897923000.0,588580000.0,42747662000.0,,3380884000.0,50079000.0,0.012886728545728091,0.04573450233187091,,0.06051882974370014,0.21477899144177043,
PSSA3.SA,2024,47913736000.0,33768338000.0,14050794000.0,576394000.0,2191494000.0,437026000.0,36526730000.0,,2644845000.0,87614000.0,0.01202982793911124,0.041022165722449565,,0.055200141354036766,0.18823455813244433,
PSSA3.SA,2023,44239599000.0,31741801000.0,12415262000.0,1240579000.0,1105403000.0,1080974000.0,33835349000.0,,2266149000.0,316938000.0,0.028042274976317033,0.09992370680538196,,0.05122444712936933,0.18252929338100154,
PSSA3.SA,2022,39914390000.0,29335980000.0,10520460000.0,2355859000.0,2433908000.0,2180142000.0,24438834000.0,,1139971000.0,333620000.0,0.059022798544585045,0.22393117791427372,,0.028560401399094413,0.10835752429076295,
ITSA4.SA,2025,111187000000.0,17808000000.0,88755000000.0,11686000000.0,4039000000.0,10091000000.0,8249000000.0,19142000000.0,16487000000.0,1492000000.0,0.10510221518702725,0.13166582164385104,12.82975871313673,0.14828172358279296,0.18575854881415133,2.320523699842405
ITSA4.SA,2024,114625000000.0,19628000000.0,90443000000.0,11885000000.0,4852000000.0,9738000000.0,8235000000.0,17629000000.0,14778000000.0,1373000000.0,0.10368593238822246,0.13140873257189611,12.839766933721776,0.1289247546346783,0.1633957299072344,2.140740740740741
ITSA4.SA,2023,105348000000.0,18298000000.0,82952000000.0,11514000000.0,5977000000.0,9662000000.0,7383000000.0,16520000000.0,13466000000.0,1569000000.0,0.10929490830390705,0.13880316327514708,10.528999362651371,0.1278239738770551,0.16233484424727554,2.2375728023838546
ITSA4.SA,2022,96637000000.0,20102000000.0,72797000000.0,12654000000.0,4472000000.0,11125000000.0,8486000000.0,17676000000.0,13674000000.0,2265000000.0,0.13094363442573756,0.17382584447161284,7.803973509933775,0.1414985978455457,0.1878374108823166,2.082960169691256
ITSA4.SA,2021,,,,,,,,,,,,,,,,
BBSE3.SA,2025,23097696000.0,12713303000.0,10384393000.0,,3167000.0,,6136484000.0,,9017329000.0,2186000.0,,,,0.3903995013182267,0.8683539808248782,
BBSE3.SA,2024,21615587000.0,11920166000.0,9695421000.0,,5301000.0,,5539516000.0,,8703353000.0,1860000.0,,,,0.4026424542622877,0.897676645501005,
BBSE3.SA,2023,18272622000.0,8456140000.0,9816482000.0,,5658000.0,,5068585000.0,,7947203000.0,1940000.0,,,,0.43492406289584495,0.8095775044460938,
BBSE3.SA,2022,16570461000.0,8533731000.0,8036730000.0,,3567000.0,,4643615000.0,,6196415000.0,1171000.0,,,,0.37394342861070673,0.7710119663096807,
BBSE3.SA,2021,,,,,,,,,,,,,,,,
