Date,ALSO3.SA,BMOB3.SA,CASH3.SA,INTB3.SA,LINX3.SA,LOGIN3.SA,LVTC3.SA,LWSA3.SA,MULT3.SA,NGRD3.SA,QUAL3.SA,RADL3.SA,SEQL3.SA,SOMA3.SA,SYNA3.SA,TOTS3.SA
2016-06-27,,,,,,,,,14.743855476379395,,13.401165008544922,10.285027503967285,,,,8.520820617675781
2016-06-28,,,,,,,,,14.997182846069336,,13.062531471252441,10.322244644165039,,,,8.544022560119629
2016-06-29,,,,,,,,,15.377179145812988,,13.019303321838379,10.520163536071777,,,,8.787640571594238
2016-06-30,,,,,,,,,15.265717506408691,,13.408368110656738,10.680870056152344,,,,8.857246398925781
2016-07-01,,,,,,,,,15.338479995727539,,12.867997169494629,10.557378768920898,,,,8.952949523925781
2016-07-04,,,,,,,,,15.527531623840332,,13.062531471252441,10.532004356384277,,,,9.039958953857422
2016-07-05,,,,,,,,,15.629719734191895,,12.75992488861084,10.572604179382324,,,,8.871746063232422
2016-07-06,,,,,,,,,15.384465217590332,,12.968868255615234,10.437272071838379,,,,8.883345603942871
2016-07-07,,,,,,,,,15.458549499511719,,13.235450744628906,10.259652137756348,,,,8.958754539489746
2016-07-08,,,,,,,,,15.65271282196045,,13.941534996032715,10.486329078674316,,,,9.008057594299316
2016-07-11,,,,,,,,,15.828981399536133,,14.236934661865234,10.647032737731934,,,,8.952949523925781
2016-07-12,,,,,,,,,15.47899055480957,,14.453082084655762,10.733304977416992,,,,9.216872215270996
2016-07-13,,,,,,,,,15.639936447143555,,14.84935474395752,10.718084335327148,,,,9.179166793823242
2016-07-14,,,,,,,,,15.78555679321289,,14.690845489501953,10.670716285705566,,,,9.280675888061523
2016-07-15,,,,,,,,,15.903072357177734,,14.870967864990234,10.606436729431152,,,,9.17336654663086
2016-07-18,,,,,,,,,16.125335693359375,,15.382518768310547,10.699475288391113,,,,9.332880020141602
2016-07-19,,,,,,,,,16.13299560546875,,15.778787612915039,10.829730033874512,,,,9.614200592041016
2016-07-20,,,,,,,,,16.301607131958008,,15.368109703063965,10.794205665588379,,,,9.486591339111328
2016-07-21,,,,,,,,,16.196863174438477,,15.584259033203125,10.809429168701172,,,,9.570696830749512
2016-07-22,,,,,,,,,16.18153953552246,,15.432955741882324,10.843263626098633,,,,9.498191833496094
2016-07-25,,,,,,,,,15.974601745605469,,15.656306266784668,10.822962760925293,,,,9.483691215515137
2016-07-26,,,,,,,,,16.005260467529297,,15.778787612915039,10.542153358459473,,,,9.669304847717285
2016-07-27,,,,,,,,,15.974601745605469,,15.346491813659668,10.51508617401123,,,,9.52429485321045
2016-07-28,,,,,,,,,15.97715950012207,,15.130343437194824,10.860177040100098,,,,9.649002075195312
2016-07-29,,,,,,,,,16.13810920715332,,15.49059009552002,11.212034225463867,,,,9.541693687438965
2016-08-01,,,,,,,,,16.355257034301758,,15.63469123840332,11.20865249633789,,,,9.480791091918945
2016-08-02,,,,,,,,,16.018030166625977,,15.375311851501465,11.064861297607422,,,,9.440186500549316
2016-08-03,,,,,,,,,16.023143768310547,,15.238418579101562,11.088546752929688,,,,9.35028076171875
2016-08-04,,,,,,,,,16.35014533996582,,15.00786018371582,11.071629524230957,,,,9.112464904785156
2016-08-05,,,,,,,,,16.937726974487305,,15.022273063659668,11.157901763916016,,,,9.231522560119629
2016-08-08,,,,,,,,,16.393579483032227,,14.525134086608887,11.100386619567871,,,,9.301727294921875
2016-08-09,,,,,,,,,16.516202926635742,,15.000656127929688,10.897392272949219,,,,9.322200775146484
2016-08-10,,,,,,,,,16.21474266052246,,15.396928787231445,10.680870056152344,,,,9.205198287963867
2016-08-11,,,,,,,,,16.42678451538086,,15.476181983947754,10.716389656066895,,,,9.512331008911133
2016-08-12,,,,,,,,,16.247957229614258,,15.555436134338379,10.606436729431152,,,,9.439204216003418
2016-08-15,,,,,,,,,16.222410202026367,,15.706740379333496,10.489716529846191,,,,9.27540111541748
2016-08-16,,,,,,,,,15.966935157775879,,16.211084365844727,10.098949432373047,,,,9.067721366882324
2016-08-17,,,,,,,,,15.867303848266602,,16.917163848876953,10.3797607421875,,,,9.173023223876953
2016-08-18,,,,,,,,,15.655261993408203,,16.427234649658203,10.322244644165039,,,,9.096970558166504
2016-08-19,,,,,,,,,15.570960998535156,,16.499279022216797,10.400057792663574,,,,9.047243118286133
2016-08-22,,,,,,,,,15.27205753326416,,16.51369285583496,10.14631462097168,,,,8.722561836242676
2016-08-23,,,,,,,,,15.328262329101562,,15.994937896728516,10.017754554748535,,,,8.848339080810547
2016-08-24,,,,,,,,,15.34614086151123,,16.31915855407715,9.911179542541504,,,,8.585081100463867
2016-08-25,,,,,,,,,15.443220138549805,,15.814813613891602,10.183530807495117,,,,8.833712577819824
2016-08-26,,,,,,,,,15.236295700073242,,15.800403594970703,10.092183113098145,,,,8.91854190826416
2016-08-29,,,,,,,,,15.024253845214844,,16.304746627807617,10.073573112487793,,,,8.775211334228516
2016-08-30,,,,,,,,,15.042130470275879,,16.304746627807617,10.012676239013672,,,,8.810314178466797
2016-08-31,,,,,,,,,14.896515846252441,,16.340774536132812,10.095564842224121,,,,8.775211334228516
2016-09-01,,,,,,,,,15.6348237991333,,16.110214233398438,10.073573112487793,,,,8.693310737609863
2016-09-02,,,,,,,,,16.293941497802734,,16.254316329956055,10.403441429138184,,,,8.97704029083252
