Date,ALSO3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2018-05-07,,16279940,4391300,,,19824431,,,,131400,1032000,,1074767
2018-05-08,,22512054,3152400,,,27974692,,,,109100,1173600,,1075972
2018-05-09,,12173538,2301800,,,23606443,,,,135200,1414000,,1622847
2018-05-10,,14180101,3382100,,,23645064,,,,159600,1209400,,3628356
2018-05-11,,14556880,3327600,,,14443957,,,,89400,786000,,1045841
2018-05-14,,18760072,4779200,,,19992895,,,,106900,1319600,,2105845
2018-05-15,,20378674,2608700,,,25311403,,,,375000,1731200,,1426997
2018-05-16,,12176094,3149100,,,15957539,,,,101000,1414800,,1404398
2018-05-17,,29459395,2812300,,,33545103,,,,345800,1327200,,915676
2018-05-18,,42002207,5141300,,,54257970,,,,207500,974000,,942794
2018-05-21,,31932340,3746800,,,28014754,,,,189100,712800,,900008
2018-05-22,,23688392,3269500,,,49717078,,,,256500,1056800,,1338412
2018-05-23,,18810703,2046300,,,39787496,,,,236300,1435200,,961174
2018-05-24,,16767245,5930300,,,29804739,,,,335300,1079400,,2594567
2018-05-25,,23886285,3595700,,,24634520,,,,179700,1214000,,1360106
2018-05-28,,13660372,3398500,,,21695982,,,,304000,668200,,733083
2018-05-29,,20385063,6744400,,,32796742,,,,326900,1210400,,2267346
2018-05-30,,39316515,7008100,,,62706249,,,,197400,4757200,,5322614
2018-06-01,,23224246,4647000,,,48949432,,,,203000,1258800,,1366434
2018-06-04,,16451958,2560700,,,24797456,,,,148400,974400,,1580664
2018-06-05,,24472458,4916800,,,37794697,,,,357700,2130600,,1196797
2018-06-06,,22191656,4590100,,,29046854,,,,162800,2382000,,906938
2018-06-07,,34889396,5862100,,,95146503,,,,315600,2803600,,2498751
2018-06-08,,32059158,2992300,,,48192988,,,,246900,2009200,,2313747
2018-06-11,,16091151,2257700,,,23325573,,,,122300,1167600,,1061811
2018-06-12,,19028721,2499700,,,36358449,,,,383800,1329600,,2126334
2018-06-13,,22976680,3656600,,,44970960,,,,211900,1483000,,1914514
2018-06-14,,40013693,2397900,,,33932561,,,,411100,749400,,2275180
2018-06-15,,53285466,5022500,,,54625384,,,,207800,2027000,,6699293
2018-06-18,,22808974,2170900,,,29754301,,,,201600,835200,,4650395
2018-06-19,,35212989,3491200,,,46110081,,,,273400,1473000,,2461087
2018-06-20,,28603615,2117200,,,27214697,,,,109300,812400,,1386320
2018-06-21,,21106359,2833500,,,28572340,,,,151200,1177400,,2450240
2018-06-22,,31857272,2134900,,,26427466,,,,115500,977800,,1788567
2018-06-25,,27012645,2518700,,,26202000,,,,86500,698000,,776773
2018-06-26,,23741419,4470800,,,23469552,,,,136700,1569400,,6861397
2018-06-27,,19255523,2531100,,,21544641,,,,114900,816400,,1178417
2018-06-28,,15723315,1507900,,,25263716,,,,38400,1220000,,1141055
2018-06-29,,23760266,2684400,,,26300911,,,,90900,1430400,,3801609
2018-07-02,,15750468,1180500,,,25690411,,,,91300,529200,,521263
2018-07-03,,20965805,3413600,,,24491812,,,,184500,799000,,689092
2018-07-04,,12568366,2396400,,,12271584,,,,160000,519800,,194645
2018-07-05,,20764398,1548300,,,21231661,,,,46100,486200,,2836819
2018-07-06,,16017999,1774500,,,13885611,,,,20000,666000,,1458333
2018-07-10,,25825126,3426600,,,18675420,,,,78700,1351200,,1033488
2018-07-11,,19724461,3373000,,,21159082,,,,54200,588600,,1324853
2018-07-12,,23753558,5818300,,,16107649,,,,65400,1746400,,638171
2018-07-13,,26517513,3972900,,,16066512,,,,63200,1355600,,840048
2018-07-16,,15271308,1772700,,,23675366,,,,90300,939400,,914471
2018-07-17,,21778940,8255300,,,31114695,,,,282400,1046800,,1388429
2018-07-18,,18886890,2272400,,,34415459,,,,91100,516400,,1297735
2018-07-19,,22265926,2397900,,,24352026,,,,45300,837600,,653538
2018-07-20,,43679107,3615000,,,24538976,,,,188400,855800,,878916
2018-07-23,,20498624,2062200,,,25764693,,,,134700,930600,,662276
2018-07-24,,20255051,4331900,,,21763949,,,,132900,2360000,,1295927
2018-07-25,,48499137,3779300,,,15874454,,,,164700,1948200,,940685
2018-07-26,,33913986,2602000,,,16722997,,,,97500,1635800,,1650567
2018-07-27,,26784884,1205800,,,16063630,,,,115700,1277200,,1079889
2018-07-30,,14686254,1216700,,,19890263,,,,188700,2902400,,1059099
2018-07-31,,17103456,2495500,,,31558159,,,,128100,2316600,,3383995
2018-08-01,,18553075,3760000,,,17923692,,,,74300,1232400,,1378787
2018-08-02,,12988909,1362600,,,13690015,,,,220200,845600,,1970858
2018-08-03,,32439611,3290400,,,22316544,,,,195500,2425200,,2046186
2018-08-06,,13496659,4671800,,,16059569,,,,38500,1491000,,1324250
2018-08-07,,23513818,4160600,,,24949819,,,,277700,3150400,,4035726
2018-08-08,,21775106,3176300,,,26557951,,,,158100,3228800,,2129045
2018-08-09,,14525895,4620400,,,19928649,,,,74900,1797400,,1802728
2018-08-10,,29139316,2436100,,,40156260,,,,133000,1519200,,1406809
2018-08-13,,14440604,2810500,,,82847800,,,,85400,2240000,,641485
2018-08-14,,18507075,2864700,,,25921379,,,,61700,2145400,,784306
2018-08-15,,24697503,7262900,,,32835887,,,,733400,2309200,,664686
2018-08-16,,12794051,7377900,,,18984600,,,,146500,1670200,,813231
2018-08-17,,20858952,5370200,,,25174761,,,,94600,2146200,,432679
2018-08-20,,16861480,4315500,,,29914393,,,,99700,2279600,,807506
2018-08-21,,31138691,5041900,,,31192645,,,,210200,2210000,,794550
2018-08-22,,18825876,2578900,,,19674623,,,,280100,1289800,,1839789
2018-08-23,,21177434,4502400,,,31380380,,,,198300,1560400,,2069989
