Date,ALSO3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2018-01-02,,12.166606903076172,13.36778450012207,,,4.037139415740967,,,,2.281301975250244,11.370981216430664,,9.01762866973877
2018-01-03,,12.222545623779297,13.37709903717041,,,4.08472204208374,,,,2.3242101669311523,11.577156066894531,,9.209046363830566
2018-01-04,,12.423094749450684,13.405049324035645,,,4.161585807800293,,,,2.3027560710906982,11.586531639099121,,9.15221881866455
2018-01-05,,12.493453979492188,13.493544578552246,,,4.168904781341553,,,,2.4028759002685547,11.81144905090332,,9.34961986541748
2018-01-08,,12.4899320602417,13.572728157043457,,,4.165245532989502,,,,2.5459041595458984,11.752097129821777,,9.34363842010498
2018-01-09,,12.373835563659668,13.526151657104492,,,4.099361896514893,,,,2.5316011905670166,11.833319664001465,,9.34662914276123
2018-01-10,,12.243651390075684,13.470256805419922,,,4.099361896514893,,,,2.481541633605957,12.089478492736816,,9.32270336151123
2018-01-11,,12.4899320602417,13.549440383911133,,,4.165245532989502,,,,2.6031155586242676,12.336263656616211,,9.310736656188965
2018-01-12,,12.4899320602417,13.577383041381836,,,4.176224231719971,,,,2.502995491027832,12.704883575439453,,9.295783996582031
2018-01-15,,12.577898025512695,13.55875301361084,,,4.227467060089111,,,,2.6031155586242676,13.014151573181152,,9.283818244934082
2018-01-16,,12.662332534790039,13.800958633422852,,,4.282370090484619,,,,2.517298460006714,13.395267486572266,,9.427382469177246
2018-01-17,,12.978963851928711,14.117685317993164,,,4.348252296447754,,,,2.574509620666504,12.948546409606934,,9.385510444641113
2018-01-18,,12.964906692504883,14.262076377868652,,,4.370212554931641,,,,2.5888125896453857,12.995407104492188,,9.364574432373047
2018-01-19,,13.056382179260254,14.294683456420898,,,4.384853839874268,,,,2.595964193344116,13.104744911193848,,9.615812301635742
2018-01-22,,13.235809326171875,14.229469299316406,,,4.494657039642334,,,,2.6031155586242676,13.248443603515625,,9.777322769165039
2018-01-23,,13.295620918273926,14.345913887023926,,,4.436094760894775,,,,2.5244500637054443,13.282805442810059,,9.723485946655273
2018-01-24,,14.002802848815918,14.816349983215332,,,4.725248336791992,,,,2.517298460006714,13.551458358764648,,9.920883178710938
2018-01-25,,14.002802848815918,14.816349983215332,,,4.725248336791992,,,,2.517298460006714,13.551458358764648,,9.920883178710938
2018-01-26,,14.495366096496582,15.137736320495605,,,4.92289400100708,,,,2.6031155586242676,13.6358060836792,,10.06445026397705
2018-01-29,,14.073173522949219,14.532228469848633,,,4.794790267944336,,,,2.7103867530822754,13.620186805725098,,9.840132713317871
2018-01-30,,14.213891983032227,14.536884307861328,,,4.824071407318115,,,,2.688932418823242,13.6014404296875,,9.744418144226074
2018-01-31,,14.33703327178955,14.49030876159668,,,4.849691390991211,,,,2.646023988723755,13.801366806030273,,9.720492362976074
2018-02-01,,13.957063674926758,14.867585182189941,,,4.835052967071533,,,,2.6388723850250244,14.276205062866211,,9.750405311584473
2018-02-02,,13.523744583129883,14.78840446472168,,,4.758187294006348,,,,2.6746299266815186,13.738893508911133,,9.645723342895508
2018-02-05,,13.30550479888916,14.555514335632324,,,4.611782073974609,,,,2.6031155586242676,13.463991165161133,,9.475238800048828
2018-02-06,,13.622308731079102,14.867585182189941,,,4.7911295890808105,,,,2.5459041595458984,13.77013111114502,,9.158201217651367
2018-02-07,,13.418147087097168,14.555514335632324,,,4.692306041717529,,,,2.5101470947265625,14.120006561279297,,8.883037567138672
2018-02-08,,13.252708435058594,14.17823600769043,,,4.6483845710754395,,,,2.502995491027832,13.392142295837402,,9.032581329345703
2018-02-09,,13.10134506225586,14.257418632507324,,,4.641063690185547,,,,2.445784568786621,13.148478507995605,,8.924907684326172
