Country Code,Country Name,ano,abertura_comercial_pct_pib,acesso_eletricidade_pct,celulares_por_100,crescimento_pib_pct,gasto_pesquisa_desenvolvimento_pct_pib,gasto_publico_educacao_pct_pib,pib_per_capita_usd,usuarios_internet_pct
ARG,Argentina,2015,22.4862260889792,99.7,142.240711022183,2.73115982828944,0.62262,5.77611017227173,13679.6264980954,68.0430641088122
ARG,Argentina,2016,26.0938878488799,99.9,145.146584717972,-2.08032784377811,0.55815,5.54548978805542,12699.9623137756,70.9689808206024
ARG,Argentina,2017,25.2896011376779,100.0,139.758240519621,2.81850297775918,0.55632,5.45432996749878,14532.5009308511,74.2949068657957
ARG,Argentina,2018,30.7625359549926,100.0,131.224265691711,-2.61739646282038,0.4883,4.87773990631104,11752.7998922979,77.7
ARG,Argentina,2019,32.6306150458499,100.0,125.302657911726,-2.00086100285785,0.47813,4.77165985107422,9955.97478680428,79.9469520347551
ARG,Argentina,2020,30.203698807416,100.0,121.180612527028,-9.9004848136464,0.54126,5.27689981460571,8535.59938004389,85.51438646
ARG,Argentina,2021,33.078689567466,100.0,130.352799939601,10.4418119882506,0.5236,4.65393018722534,10738.0179223384,87.15070683
ARG,Argentina,2022,31.5801792606256,100.0,131.483556254876,6.02074537534855,0.54951,4.79263019561768,13962.1894087223,88.37535691
ARG,Argentina,2023,26.6769512482215,100.0,137.706086781571,-1.85578803046339,0.60111,5.00324010848999,14261.8465667948,89.22897166
ARG,Argentina,2024,27.929760849367,,140.234979049333,-1.34293072157739,,,13969.7836603737,89.66715228
BRA,Brazil,2015,26.9536259372369,99.7,127.83616904008,-3.54576339347278,1.28464,6.24105978012085,8936.1955889444,58.3279517340924
BRA,Brazil,2016,24.5336820770756,99.7,120.101181531485,-3.2759169063211,1.19584,6.31403017044067,8836.28546025694,60.8725400681261
BRA,Brazil,2017,24.3197343741684,99.8,108.092570205646,1.32286905390815,1.1175,6.32047986984253,10080.5078722821,67.4712845236305
BRA,Brazil,2018,28.876203376153,99.7,101.602460284017,1.78366676137003,1.15016,6.08851003646851,9300.66072904004,70.4342825404361
BRA,Brazil,2019,28.8902578697354,99.8,97.3747376780285,1.22077782271943,1.15115,5.96346998214722,9029.83304401079,73.9124399133589
BRA,Brazil,2020,32.3020785443492,99.7,98.6456198619193,-3.27675879612903,1.21907,5.7714900970459,7074.19407495707,81.34269353
BRA,Brazil,2021,37.6563307592575,99.5,104.824727184587,4.7626043797061,1.13371,5.4969801902771,7972.53696080695,80.68989314
BRA,Brazil,2022,38.8160659764321,100.0,101.245468903076,3.01669435408112,1.18873,5.61920976638794,9281.33282136864,80.52775094
