,count,mean,std,min,25%,50%,75%,max
pib_per_capita_usd,670.0,29113.673,26117.512,1278.397,8671.541,19591.083,45023.708,137781.682
crescimento_pib_pct,670.0,2.474,4.396,-29.999,1.221,2.747,4.547,24.624
abertura_comercial_pct_pib,669.0,94.748,65.107,22.486,50.884,74.305,126.38,412.177
usuarios_internet_pct,665.0,78.958,17.512,11.0,70.7,84.165,91.63,100.0
celulares_por_100,665.0,125.074,24.444,57.941,110.494,124.23,137.002,220.412
gasto_publico_educacao_pct_pib,504.0,4.709,1.387,0.864,3.825,4.626,5.426,8.584
acesso_eletricidade_pct,603.0,99.097,2.448,83.9,99.8,100.0,100.0,100.0
