pais,pais_nome,ano,valor
CYP,Cyprus,2023,190.740788408329
CYP,Cyprus,2022,205.753543745524
CYP,Cyprus,2021,176.82773681987
CYP,Cyprus,2020,160.66871645997
CYP,Cyprus,2019,150.506169561162
CYP,Cyprus,2018,147.623567410054
CYP,Cyprus,2017,148.013355558135
CYP,Cyprus,2016,139.022098457248
CYP,Cyprus,2015,137.276426477193
CZE,Czechia,2024,131.484981069952
CZE,Czechia,2023,131.892598295876
CZE,Czechia,2022,144.011494109397
CZE,Czechia,2021,137.378116302868
CZE,Czechia,2020,128.780430305965
CZE,Czechia,2019,138.154609993871
CZE,Czechia,2018,145.141717890789
CZE,Czechia,2017,147.750834854762
CZE,Czechia,2016,148.547004664435
CZE,Czechia,2015,154.018400997633
DEU,Germany,2024,79.0907305894936
DEU,Germany,2023,81.9625483787634
DEU,Germany,2022,88.7857542130501
DEU,Germany,2021,79.9195348609851
DEU,Germany,2020,72.9335327120137
DEU,Germany,2019,79.0732427175683
DEU,Germany,2018,79.1252260463654
DEU,Germany,2017,77.4548394742448
DEU,Germany,2016,76.0059902166055
DEU,Germany,2015,77.7565815686922
DNK,Denmark,2024,131.765030975207
DNK,Denmark,2023,129.625337431278
DNK,Denmark,2022,131.995824909071
DNK,Denmark,2021,112.321472697291
DNK,Denmark,2020,104.433432671151
DNK,Denmark,2019,111.891475065653
DNK,Denmark,2018,108.813985501909
DNK,Denmark,2017,104.215676920442
DNK,Denmark,2016,101.452783808643
DNK,Denmark,2015,105.130362453899
ECU,Ecuador,2024,57.2031395531255
ECU,Ecuador,2023,56.9977535649091
ECU,Ecuador,2022,61.880792818786
ECU,Ecuador,2021,53.261275610573
ECU,Ecuador,2020,43.9893109378389
ECU,Ecuador,2019,48.0828494933307
ECU,Ecuador,2018,48.0093476154836
ECU,Ecuador,2017,43.6177233172817
ECU,Ecuador,2016,40.5344917996647
ECU,Ecuador,2015,47.8280397077826
EGY,"Egypt, Arab Rep.",2024,39.6007520873733
EGY,"Egypt, Arab Rep.",2023,40.4504007720031
EGY,"Egypt, Arab Rep.",2022,36.9831048772713
EGY,"Egypt, Arab Rep.",2021,29.8569734808122
EGY,"Egypt, Arab Rep.",2020,32.1262555667523
EGY,"Egypt, Arab Rep.",2019,41.1240171551108
EGY,"Egypt, Arab Rep.",2018,45.9110196733959
EGY,"Egypt, Arab Rep.",2017,42.8321343581608
EGY,"Egypt, Arab Rep.",2016,30.2465490514505
EGY,"Egypt, Arab Rep.",2015,34.8459429600229
ESP,Spain,2024,69.9502612382631
ESP,Spain,2023,71.7976366055733
ESP,Spain,2022,78.4657338703054
ESP,Spain,2021,66.524588943191
ESP,Spain,2020,59.4461280147076
ESP,Spain,2019,66.3662250440692
ESP,Spain,2018,67.0094103982921
ESP,Spain,2017,66.167446137857
ESP,Spain,2016,63.1886778507294
ESP,Spain,2015,63.5820412248232
EST,Estonia,2024,151.037702410455
EST,Estonia,2023,154.592617111149
EST,Estonia,2022,175.68711950524
EST,Estonia,2021,160.471922305927
EST,Estonia,2020,137.392641283846
EST,Estonia,2019,140.352147998549
EST,Estonia,2018,143.485224864735
EST,Estonia,2017,144.635650944133
EST,Estonia,2016,147.7462327097
EST,Estonia,2015,148.507157123558
FIN,Finland,2024,83.4601015353507
FIN,Finland,2023,85.5633906057585
FIN,Finland,2022,94.5625340522667
FIN,Finland,2021,79.7892781913782
FIN,Finland,2020,72.1845955995888
FIN,Finland,2019,80.5641502947367
FIN,Finland,2018,79.1436148422846
FIN,Finland,2017,75.9387822310041
FIN,Finland,2016,71.7222101178859
FIN,Finland,2015,71.9618253787014
FRA,France,2024,68.1081875443744
FRA,France,2023,70.6261450610225
FRA,France,2022,75.9630077981996
FRA,France,2021,63.788482630872
FRA,France,2020,58.8388907240647
FRA,France,2019,66.4289771741449
FRA,France,2018,66.8022607812266
FRA,France,2017,65.3958481559711
FRA,France,2016,63.3427564383351
FRA,France,2015,63.5046871956484
GBR,United Kingdom,2024,62.8401605267118
GBR,United Kingdom,2023,64.9923841747803
GBR,United Kingdom,2022,69.1989264413981
GBR,United Kingdom,2021,58.53838629291
GBR,United Kingdom,2020,59.1598893030611
GBR,United Kingdom,2019,65.0035664177054
GBR,United Kingdom,2018,64.9097721959201
GBR,United Kingdom,2017,63.1899245764158
GBR,United Kingdom,2016,59.8395315138259
GBR,United Kingdom,2015,57.125044605439
GRC,Greece,2024,89.7765279446168
GRC,Greece,2023,92.4710882947018
GRC,Greece,2022,108.121843229922
GRC,Greece,2021,88.0126654490379
GRC,Greece,2020,70.2937464580745
GRC,Greece,2019,80.5900949510457
GRC,Greece,2018,79.2379908638706
GRC,Greece,2017,70.8824967397253
GRC,Greece,2016,63.6575490882866
GRC,Greece,2015,65.2716454619318
GTM,Guatemala,2024,47.344196760267
GTM,Guatemala,2023,48.2970707467356
GTM,Guatemala,2022,54.4310384820058
GTM,Guatemala,2021,49.2611494576228
GTM,Guatemala,2020,41.1407594507716
GTM,Guatemala,2019,45.5167341512863
GTM,Guatemala,2018,47.0116852699223
GTM,Guatemala,2017,46.0694033463258
GTM,Guatemala,2016,46.3727344722496
GTM,Guatemala,2015,49.8934517710689
HRV,Croatia,2024,104.912326073253
HRV,Croatia,2023,107.278314008304
HRV,Croatia,2022,125.410877974694
HRV,Croatia,2021,102.328697150799
HRV,Croatia,2020,89.5480523143212
HRV,Croatia,2019,101.394766564216
HRV,Croatia,2018,99.0848546362534
HRV,Croatia,2017,97.2445256540374
HRV,Croatia,2016,92.1392009356077
HRV,Croatia,2015,90.6522705485118
HUN,Hungary,2024,146.504561505902
HUN,Hungary,2023,158.385747467469
HUN,Hungary,2022,185.000204092698
HUN,Hungary,2021,159.187527332834
HUN,Hungary,2020,154.527002936377
HUN,Hungary,2019,159.925556464831
HUN,Hungary,2018,162.700858777925
HUN,Hungary,2017,165.032855840268
HUN,Hungary,2016,163.97194450015
HUN,Hungary,2015,167.290738494524
IDN,Indonesia,2024,42.572647301834
IDN,Indonesia,2023,41.3362868707652
IDN,Indonesia,2022,45.4646701959453
IDN,Indonesia,2021,40.2047582749671
IDN,Indonesia,2020,32.9721754002427
IDN,Indonesia,2019,37.6277775357108
IDN,Indonesia,2018,43.0743089552002
IDN,Indonesia,2017,39.3554970704606
IDN,Indonesia,2016,37.4213418023318
IDN,Indonesia,2015,41.9376402415294
IND,India,2024,44.6492935069676
IND,India,2023,44.9928422877561
IND,India,2022,50.0752701498882
IND,India,2021,45.4230887840446
IND,India,2020,37.7581053292768
IND,India,2019,39.9054035306442
IND,India,2018,43.6169693323889
IND,India,2017,40.7424969545225
IND,India,2016,40.082485713276
IND,India,2015,41.9229138658647
IRL,Ireland,2024,246.169874857401
IRL,Ireland,2023,239.649627585111
IRL,Ireland,2022,237.755419559378
IRL,Ireland,2021,231.032350863586
IRL,Ireland,2020,258.780437026252
IRL,Ireland,2019,257.652772910421
IRL,Ireland,2018,222.453716000399
IRL,Ireland,2017,233.304083346711
IRL,Ireland,2016,239.708527798768
IRL,Ireland,2015,223.702938290642
ISL,Iceland,2024,85.9671932681303
ISL,Iceland,2023,87.4049419122047
ISL,Iceland,2022,93.0487199615013
ISL,Iceland,2021,76.2317249850944
ISL,Iceland,2020,68.6550233460548
ISL,Iceland,2019,83.7923659518443
ISL,Iceland,2018,88.934996973139
ISL,Iceland,2017,86.3585336945067
ISL,Iceland,2016,87.7600165983392
ISL,Iceland,2015,94.8888027460231
ISR,Israel,2024,54.4520002969727
ISR,Israel,2023,57.9903207136983
ISR,Israel,2022,60.6448526742952
ISR,Israel,2021,54.9016842006986
ISR,Israel,2020,51.2366737920366
ISR,Israel,2019,56.325348642584
ISR,Israel,2018,58.7437542387448
ISR,Israel,2017,56.2801142540924
ISR,Israel,2016,57.7990316850783
ISR,Israel,2015,58.897971915566
ITA,Italy,2024,62.8237685119526
ITA,Italy,2023,65.1071778763174
ITA,Italy,2022,72.0165023032697
ITA,Italy,2021,60.3019776202798
ITA,Italy,2020,53.9394839042764
ITA,Italy,2019,58.6941902594738
ITA,Italy,2018,59.2749835128154
ITA,Italy,2017,57.5829940274911
ITA,Italy,2016,54.4321467018313
ITA,Italy,2015,55.4356858148221
JPN,Japan,2024,46.4069516150859
JPN,Japan,2023,45.1508795641248
JPN,Japan,2022,46.8129868368938
JPN,Japan,2021,36.7384462280698
JPN,Japan,2020,31.335208636773
JPN,Japan,2019,35.2164181084145
JPN,Japan,2018,36.609931802107
JPN,Japan,2017,34.4232135721686
JPN,Japan,2016,31.3102468455884
JPN,Japan,2015,35.4274083544798
KOR,"Korea, Rep.",2024,84.6424951192038
KOR,"Korea, Rep.",2023,82.2580090716629
KOR,"Korea, Rep.",2022,90.5851475278549
KOR,"Korea, Rep.",2021,75.3063047610912
KOR,"Korea, Rep.",2020,65.544957860621
KOR,"Korea, Rep.",2019,71.4470632403511
KOR,"Korea, Rep.",2018,74.7075162140824
KOR,"Korea, Rep.",2017,73.1921408264016
KOR,"Korea, Rep.",2016,69.8997221316919
KOR,"Korea, Rep.",2015,75.3881774564907
LTU,Lithuania,2024,143.04839086338
LTU,Lithuania,2023,149.041909014608
LTU,Lithuania,2022,175.651612151093
LTU,Lithuania,2021,154.80672767597
LTU,Lithuania,2020,135.796565563519
LTU,Lithuania,2019,148.374996011818
LTU,Lithuania,2018,147.202132525221
LTU,Lithuania,2017,144.918393101325
LTU,Lithuania,2016,134.690449650877
LTU,Lithuania,2015,138.195575009601
LUX,Luxembourg,2024,351.267921153192
LUX,Luxembourg,2023,402.566968197345
LUX,Luxembourg,2022,412.177169924175
LUX,Luxembourg,2021,397.506180867971
LUX,Luxembourg,2020,375.581396376432
LUX,Luxembourg,2019,382.66078058442
LUX,Luxembourg,2018,361.865445198667
LUX,Luxembourg,2017,353.793991980303
LUX,Luxembourg,2016,348.437409376889
LUX,Luxembourg,2015,351.13197436149
LVA,Latvia,2024,132.262507895925
LVA,Latvia,2023,135.642989154266
LVA,Latvia,2022,159.892778190649
LVA,Latvia,2021,136.796615414819
LVA,Latvia,2020,123.88319804656
LVA,Latvia,2019,125.29163170793
LVA,Latvia,2018,128.234095559822
LVA,Latvia,2017,128.714003328884
LVA,Latvia,2016,123.330518429659
LVA,Latvia,2015,126.380014406006
MAR,Morocco,2024,92.1872446062404
MAR,Morocco,2023,93.1178844179777
MAR,Morocco,2022,100.906310201651
MAR,Morocco,2021,75.5234171756506
MAR,Morocco,2020,68.8438033904364
MAR,Morocco,2019,75.9981158798422
MAR,Morocco,2018,77.2548875243989
MAR,Morocco,2017,74.1733578786573
MAR,Morocco,2016,71.1226603816864
MAR,Morocco,2015,67.2886759253849
MEX,Mexico,2024,74.5889079825143
MEX,Mexico,2023,73.5788616365245
MEX,Mexico,2022,88.7984855867186
