pais,ano,pib_per_capita_usd,crescimento_pib_pct,abertura_comercial_pct_pib,usuarios_internet_pct,celulares_por_100,gasto_publico_educacao_pct_pib,gasto_pesquisa_desenvolvimento_pct_pib,acesso_eletricidade_pct
ARE,2015,44910.334995523,7.08767348587587,164.286182737903,90.5,206.839413263939,,0.86569,100.0
ARE,2016,42721.0999383185,5.65793329224303,165.39501917458,90.6000073180483,220.411614691071,,0.9318,100.0
ARE,2017,43733.6192287435,-1.06137661464977,165.476542469815,94.8199225383446,214.701342068567,,,100.0
ARE,2018,47135.3591943971,1.53716683173516,154.747005019293,98.4500017817194,214.842134318761,,1.26389,100.0
ARE,2019,45938.6073581994,1.27134240761141,163.822152944853,99.1499979561243,209.033214126867,3.86019992828369,1.31065,100.0
ARE,2020,37991.7492971665,-8.69342617885171,181.29188817064,100.0,194.467749671801,3.98417997360229,1.48831,100.0
ARE,2021,44118.5047192771,4.55278571242283,182.909355066597,100.0,186.30089463245,3.89404010772705,1.49469,100.0
ARE,2022,50759.7589231191,7.51448425801082,185.741660982819,100.0,195.624592490241,,,100.0
ARE,2023,49850.6872175164,4.30118228020602,199.044979237546,100.0,199.423843889179,,,100.0
ARE,2024,50273.5060469837,3.99180705485398,,100.0,203.206410299544,,,
ARG,2015,13679.6264980954,2.73115982828944,22.4862260889792,68.0430641088122,142.240711022183,5.77611017227173,0.62262,99.7
ARG,2016,12699.9623137756,-2.08032784377811,26.0938878488799,70.9689808206024,145.146584717972,5.54548978805542,0.55815,99.9
ARG,2017,14532.5009308511,2.81850297775918,25.2896011376779,74.2949068657957,139.758240519621,5.45432996749878,0.55632,100.0
ARG,2018,11752.7998922979,-2.61739646282038,30.7625359549926,77.7,131.224265691711,4.87773990631104,0.4883,100.0
ARG,2019,9955.97478680428,-2.00086100285785,32.6306150458499,79.9469520347551,125.302657911726,4.77165985107422,0.47813,100.0
ARG,2020,8535.59938004389,-9.9004848136464,30.203698807416,85.51438646,121.180612527028,5.27689981460571,0.54126,100.0
ARG,2021,10738.0179223384,10.4418119882506,33.078689567466,87.15070683,130.352799939601,4.65393018722534,0.5236,100.0
ARG,2022,13962.1894087223,6.02074537534855,31.5801792606256,88.37535691,131.483556254876,4.79263019561768,0.54951,100.0
ARG,2023,14261.8465667948,-1.85578803046339,26.6769512482215,89.22897166,137.706086781571,5.00324010848999,0.60111,100.0
ARG,2024,13969.7836603737,-1.34293072157739,27.929760849367,89.66715228,140.234979049333,,,
AUS,2015,56970.3613028094,2.16434780647852,41.4947506939901,84.5605149091408,107.608142007003,,1.91969,100.0
AUS,2016,50084.4440606385,2.75564065529868,40.813402217321,86.54000092,109.128813718295,,,100.0
AUS,2017,54117.547718609,2.29331030192918,42.0354135251854,86.5450488476768,107.799761578952,,1.88102,100.0
AUS,2018,57410.1737346009,2.87417039499501,43.5732253645218,90.0082016,110.033134941946,,,100.0
AUS,2019,55194.7585097428,2.19401703622717,46.0016827052171,93.60990143,109.752830879788,,1.82826,100.0
AUS,2020,51983.4523666382,-0.133531904304775,44.499564103879,94.6934967,104.930155780087,5.38625001907349,,100.0
AUS,2021,60758.9044397144,2.00694844335034,40.2022359390595,96.97219849,105.118514623956,5.34109020233154,1.85783,100.0
AUS,2022,65169.5191118657,4.25304559238732,45.6946418805752,96.11940002,109.469171081514,5.05915021896362,,100.0
AUS,2023,65058.3773146674,3.58382100798981,49.044339318428,96.1160965,112.513177133796,,,100.0
AUS,2024,64603.9856308464,1.37340773365975,47.1453811065195,96.13140106,112.581025002429,,,
AUT,2015,43915.228020857,1.30352331826198,103.11758174626,83.9401419315026,155.837138171172,5.49143981933594,3.06917,100.0
AUT,2016,45061.4993920192,2.11721964494312,101.573494597172,84.3237425711653,126.797525496643,5.50954008102417,3.13356,100.0
AUT,2017,47163.7425775142,2.27224992038207,105.556066755438,87.9355865856062,123.414865109678,5.40181016921997,3.07376,100.0
AUT,2018,51194.0749841299,2.48422114080024,108.377969971828,87.4791372262556,124.230205900482,5.25437021255493,3.10828,100.0
AUT,2019,49885.9947355204,1.75497619649288,108.207284904426,87.7522047870069,120.776373862218,5.23678016662598,3.14405,100.0
AUT,2020,48716.4098900349,-6.31825509209936,99.9482141095975,87.52942813,120.131806593244,5.57961988449097,3.20758,100.0
AUT,2021,53648.6437976214,4.92309171717903,111.032932124165,92.52915104,121.357731973824,5.48071002960205,3.25565,100.0
AUT,2022,52336.7725223758,5.33096379400371,123.579578652902,93.61409139,121.16645744796,5.27749013900757,3.17775,100.0
AUT,2023,56579.504175468,-0.786244288594673,115.152914822732,95.33467117,121.746207105931,,3.25517,100.0
AUT,2024,58268.8787651601,-0.659089573171372,108.825777834405,94.91974877,124.45929984531,,,
BEL,2015,40893.804537772,1.47416433731927,155.068682045926,85.0529417508701,113.29233233425,6.46963977813721,2.43496,100.0
BEL,2016,41854.5498296444,1.19350273007754,159.057696611945,86.5164766644457,110.74871736226,6.48613023757935,2.53291,100.0
BEL,2017,44035.3239358548,1.47446761556785,166.904078237791,87.6796808175598,99.8303971992992,6.44915008544922,2.67654,100.0
BEL,2018,47487.2100392561,1.87796847383565,168.277692877218,88.6473429951691,100.164027018171,6.38883018493652,2.86365,100.0
BEL,2019,46716.6227467964,2.4428900448156,165.46547893199,90.275428012141,100.164960666171,6.32381010055542,3.15154,100.0
BEL,2020,45906.2875805246,-4.7929839083518,156.950121282783,91.52641629,99.9100614924974,6.75470018386841,3.36823,100.0
BEL,2021,51658.238294958,6.25445686466593,177.381892440073,92.78867618,101.462935633736,6.38081979751587,3.40589,100.0
BEL,2022,50605.7496677086,3.9562379757933,191.179031303786,94.00783071,101.680355820653,6.27611017227173,3.19592,100.0
BEL,2023,55291.4754541329,1.71412195515242,165.846946501713,94.62625074,103.196426365374,,3.27235,100.0
BEL,2024,56614.5679499036,1.07045413019414,158.931826338067,95.77579144,103.90465332676,,,
BGR,2015,7268.65445473873,3.39755336780412,126.73664221295,56.6562516053086,128.103256321093,3.88469004631042,0.94947,96.6
BGR,2016,7822.49923292968,3.02662841229517,122.805514356513,59.825547661014,125.906027330453,3.81435990333557,0.77009,97.3
BGR,2017,8696.68930427924,2.74592676054861,129.634429048004,63.4101013837926,120.595632675282,4.07754993438721,0.74037,98.1
BGR,2018,9849.38397225174,2.33015213407045,129.166502930632,64.78201069118,119.394511829255,4.05201005935669,0.75505,98.7
BGR,2019,10353.7204584127,3.79331765354152,125.260418346411,67.9469809417603,116.616975862125,4.21430015563965,0.83576,99.2
BGR,2020,10760.211975413,-3.13323303076419,110.423899846249,70.16248359,114.596737765322,4.48298978805542,0.84549,99.7
BGR,2021,12966.1457543396,7.82817232822165,121.214088263823,75.27144583,114.911988483727,4.7092399597168,0.76933,99.8
BGR,2022,13999.1949530956,4.0838640915123,138.844877241238,79.12686326,116.679163253179,4.50109004974365,0.75174,100.0
BGR,2023,15853.208636704,1.68151074972904,119.899505956556,80.38956462,117.932685806225,,0.79224,100.0
BGR,2024,17596.0173663521,3.38709063847314,110.22631455921,82.438955,118.067152838789,,,
BOL,2015,2996.01289811344,4.8571871797142,67.9328451905248,37.4868176324391,92.2660116634989,8.1434497833252,,91.5
BOL,2016,3035.87347732132,4.26392086382097,56.4010345026573,39.69749832,90.3953302409119,8.15062046051025,,91.8
BOL,2017,4048.40119739839,4.19520633360403,45.5761123650708,43.83229828,96.6383703523099,8.09722995758057,0.07627,91.8
BOL,2018,4206.8552936661,2.86808404814794,46.9261953417368,44.2861422024283,99.4565867202022,8.01585960388184,,92.8
BOL,2019,4203.15492855788,1.50672102666863,45.8209732749024,47.4748191121692,100.14945954148,8.09103012084961,0.06643,95.1
BOL,2020,3580.96761778303,-12.7194690092717,37.5164342446486,59.94010155,99.898817726261,8.43710994720459,,97.2
BOL,2021,4010.76053686204,10.0290488827886,47.6670843158984,65.9773785,100.809064985893,7.96216011047363,0.06308,98.6
BOL,2022,4219.46113742445,3.74741781241461,57.5249335789631,72.62270355,101.57150434614,7.57551002502441,,99.9
BOL,2023,4274.70820547613,2.51636590154891,49.6083255594597,77.30039978,,7.89381980895996,,99.8
BOL,2024,4421.16609889999,-1.12335595517212,46.9778716148403,79.70469666,98.0287940811943,7.53980016708374,,
BRA,2015,8936.1955889444,-3.54576339347278,26.9536259372369,58.3279517340924,127.83616904008,6.24105978012085,1.28464,99.7
BRA,2016,8836.28546025694,-3.2759169063211,24.5336820770756,60.8725400681261,120.101181531485,6.31403017044067,1.19584,99.7
BRA,2017,10080.5078722821,1.32286905390815,24.3197343741684,67.4712845236305,108.092570205646,6.32047986984253,1.1175,99.8
BRA,2018,9300.66072904004,1.78366676137003,28.876203376153,70.4342825404361,101.602460284017,6.08851003646851,1.15016,99.7
BRA,2019,9029.83304401079,1.22077782271943,28.8902578697354,73.9124399133589,97.3747376780285,5.96346998214722,1.15115,99.8
BRA,2020,7074.19407495707,-3.27675879612903,32.3020785443492,81.34269353,98.6456198619193,5.7714900970459,1.21907,99.7
BRA,2021,7972.53696080695,4.7626043797061,37.6563307592575,80.68989314,104.824727184587,5.4969801902771,1.13371,99.5
BRA,2022,9281.33282136864,3.01669435408112,38.8160659764321,80.52775094,101.245468903076,5.61920976638794,1.18873,100.0
BRA,2023,10377.5897719195,3.24165532813583,33.6662298301284,84.15060238,101.020256020808,,1.1938,99.8
BRA,2024,10310.5488778166,3.41931516597739,35.5845239385389,84.46347227,101.926846460424,,,
CAN,2015,43594.1941045394,0.649971001734855,66.1649020669781,90.0,82.767383138656,4.73936986923218,1.6936,100.0
CAN,2016,42314.0615817218,1.03855092490855,65.3636845215556,91.16000366,84.5919452304565,4.81642007827759,1.72903,100.0
CAN,2017,45129.628116623,3.03383491200222,65.1010608504649,92.70140076,86.1024018448784,4.95998001098633,1.68702,100.0
CAN,2018,46539.1761570405,2.74296344906655,66.5998858508762,94.64,89.0494584998715,4.88898992538452,1.7372,100.0
CAN,2019,46352.8693445211,1.90843194590616,66.1714852804959,91.91290283,90.9589210049458,4.77293014526367,1.75578,100.0
CAN,2020,43537.839298904,-5.03823343468899,61.1567709632763,92.3,84.7747749116615,4.88794994354248,1.93413,100.0
CAN,2021,52886.6616372703,5.95052802804381,62.2468367159421,93.93710327,87.4056019628826,4.74858999252319,1.87064,100.0
CAN,2022,56256.8007264015,4.18903628100851,67.3176215563989,94.0,91.2386689983444,4.84426021575928,1.81291,100.0
CAN,2023,54220.3285039875,1.52874550838358,66.6323313370668,94.14530182,94.1497268194785,,1.81048,100.0
CAN,2024,54340.3477224733,1.55479521049516,65.1499212653783,94.353302,94.1059718794246,,1.7908,
CHE,2015,83806.4476003837,1.64462750849488,117.138482218872,87.4790555978675,135.723075533919,4.99560022354126,3.04577,100.0
CHE,2016,82153.0745447889,2.06868969039562,123.565924513577,89.1346877351392,134.235676338144,4.98164987564087,,100.0
CHE,2017,82254.3769269767,1.36279965488859,123.621807602301,89.6861476710225,131.169694242519,5.01765012741089,3.04671,100.0
CHE,2018,85217.3691512274,2.86044579439036,124.428504325808,91.80000305,126.681143927488,4.9300799369812,,100.0
CHE,2019,84121.9310304414,1.14198218965691,124.127612180467,93.1460869535177,126.920635838501,5.01438999176025,3.14983,100.0
CHE,2020,85897.7843338323,-2.14173712008038,121.785977998371,94.34999847,127.376373489656,5.27676010131836,,100.0
CHE,2021,93664.7736696111,5.55962020605844,130.016261288489,95.56937154,123.21236546636,5.02535009384155,3.24862,100.0
CHE,2022,94394.5106803525,3.04406102969423,138.500698753519,96.45279694,123.971228075124,4.86427021026611,,100.0
CHE,2023,100623.549627296,0.683328174376044,135.32000224909,97.34436623,130.221876609608,,3.22178,100.0
CHE,2024,103998.186685604,1.30233332541106,134.09514852061,97.3443985,129.471369643132,,,
CHL,2015,13433.9202987032,2.15194249981184,59.3491104775309,76.6295919508796,128.583971575207,4.90390014648438,0.38296,99.7
CHL,2016,13649.8520452803,1.753038749071,56.0578610877723,83.5585860244169,127.565123343064,5.36645984649658,0.37103,100.0
CHL,2017,14879.9086227187,1.35769537343957,56.0261589675707,82.3274869338464,124.000811902967,5.43278980255127,0.35679,99.7
CHL,2018,15659.4808675628,3.99002947789977,58.177050633437,84.90000153,133.270134198082,5.473060131073,0.36916,100.0
CHL,2019,14495.716721687,0.634367533828438,57.6117545680829,85.01760101,130.492770400522,5.62629985809326,0.34243,100.0
CHL,2020,13114.815470545,-6.14347479224092,58.1828635629748,87.45929718,129.413740104604,5.62992000579834,0.33525,100.0
