pais,tem_compras_eletronicas,tem_auditoria_continua,tem_xai_contratacao,fonte
ARG,,,,
AUS,,,,
AUT,,,,
BEL,,,,
BOL,,,,
BRA,,,,
BGR,,,,
CAN,,,,
CHL,,,,
CHN,,,,
COL,,,,
CRI,,,,
HRV,,,,
CYP,,,,
CZE,,,,
DNK,,,,
ECU,,,,
EGY,,,,
SLV,,,,
ESP,,,,
EST,,,,
FIN,,,,
FRA,,,,
DEU,,,,
GRC,,,,
GTM,,,,
HUN,,,,
ISL,,,,
IND,,,,
IDN,,,,
IRL,,,,
ISR,,,,
ITA,,,,
JPN,,,,
KOR,,,,
LVA,,,,
LTU,,,,
LUX,,,,
MYS,,,,
MEX,,,,
MAR,,,,
NLD,,,,
NZL,,,,
NOR,,,,
PAK,,,,
PAN,,,,
PER,,,,
PHL,,,,
POL,,,,
PRT,,,,
ROU,,,,
RUS,,,,
SAU,,,,
SGP,,,,
SVK,,,,
SVN,,,,
ZAF,,,,
ESP,,,,
SWE,,,,
CHE,,,,
THA,,,,
TUR,,,,
ARE,,,,
GBR,,,,
USA,,,,
URY,,,,
VEN,,,,
VNM,,,,
TWN,,,,
