indicador,pais,ano,valor
NY.GDP.MKTP.CD,BRA,2022,1951923832083.87
NY.GDP.MKTP.CD,BRA,2021,1670647464062.96
NY.GDP.MKTP.CD,BRA,2020,1476107292151.95
NY.GDP.MKTP.CD,BRA,2019,1873288158838.63
NY.GDP.MKTP.CD,BRA,2018,1916933708352.71
NY.GDP.MKTP.CD,CHN,2024,18743803170827.2
NY.GDP.MKTP.CD,CHN,2023,18270356654533.2
NY.GDP.MKTP.CD,CHN,2022,18316765021690.2
NY.GDP.MKTP.CD,CHN,2021,18201698719564.0
NY.GDP.MKTP.CD,CHN,2020,14996414166715.1
NY.GDP.MKTP.CD,CHN,2019,14560167101283.4
NY.GDP.MKTP.CD,CHN,2018,14147765772963.8
NY.GDP.MKTP.CD,DEU,2024,4685592577804.69
NY.GDP.MKTP.CD,DEU,2023,4562207532490.28
NY.GDP.MKTP.CD,DEU,2022,4201021706478.62
NY.GDP.MKTP.CD,DEU,2021,4355251953410.78
NY.GDP.MKTP.CD,DEU,2020,3941398957073.94
NY.GDP.MKTP.CD,DEU,2019,3959894794039.21
NY.GDP.MKTP.CD,DEU,2018,4055433215301.96
NY.GDP.MKTP.CD,GBR,2024,3686033044482.13
NY.GDP.MKTP.CD,GBR,2023,3420796653789.08
NY.GDP.MKTP.CD,GBR,2022,3181244350465.41
NY.GDP.MKTP.CD,GBR,2021,3194559188925.93
NY.GDP.MKTP.CD,GBR,2020,2724001478304.59
NY.GDP.MKTP.CD,GBR,2019,2875710080015.3
NY.GDP.MKTP.CD,GBR,2018,2897028009916.05
NY.GDP.MKTP.CD,IND,2024,3909891533858.08
NY.GDP.MKTP.CD,IND,2023,3638489096033.86
NY.GDP.MKTP.CD,IND,2022,3346107287730.93
NY.GDP.MKTP.CD,IND,2021,3167270623260.47
NY.GDP.MKTP.CD,IND,2020,2674851578587.27
NY.GDP.MKTP.CD,IND,2019,2835606256558.19
NY.GDP.MKTP.CD,IND,2018,2702929641648.74
NY.GDP.MKTP.CD,MEX,2024,1856365616165.94
NY.GDP.MKTP.CD,MEX,2023,1798317581486.88
NY.GDP.MKTP.CD,MEX,2022,1466934724293.06
NY.GDP.MKTP.CD,MEX,2021,1316569466685.95
NY.GDP.MKTP.CD,MEX,2020,1121064767308.42
NY.GDP.MKTP.CD,MEX,2019,1304106203902.45
NY.GDP.MKTP.CD,MEX,2018,1256300182879.73
NY.GDP.MKTP.CD,USA,2024,28750956130731.2
NY.GDP.MKTP.CD,USA,2023,27292170793214.4
NY.GDP.MKTP.CD,USA,2022,25604848907611.0
NY.GDP.MKTP.CD,USA,2021,23315080560000.0
NY.GDP.MKTP.CD,USA,2020,21060473613000.0
NY.GDP.MKTP.CD,USA,2019,21380976119000.0
NY.GDP.MKTP.CD,USA,2018,20533057312000.0
PA.NUS.FCRF,ARG,2024,914.694883333333
PA.NUS.FCRF,ARG,2023,296.258041666666
PA.NUS.FCRF,ARG,2022,130.61655
PA.NUS.FCRF,ARG,2021,94.9907416666666
PA.NUS.FCRF,ARG,2020,70.5391666666666
PA.NUS.FCRF,ARG,2019,48.1478916666666
PA.NUS.FCRF,ARG,2018,28.0949916666666
PA.NUS.FCRF,BRA,2024,5.38893490570959
PA.NUS.FCRF,BRA,2023,4.99437976287199
PA.NUS.FCRF,BRA,2022,5.16397029102111
PA.NUS.FCRF,BRA,2021,5.39440078962503
PA.NUS.FCRF,BRA,2020,5.1551787875128
PA.NUS.FCRF,BRA,2019,3.9444710972507
PA.NUS.FCRF,BRA,2018,3.65382536145755
PA.NUS.FCRF,CHN,2024,7.19749110789916
PA.NUS.FCRF,CHN,2023,7.0839984234363
PA.NUS.FCRF,CHN,2022,6.73715811237118
PA.NUS.FCRF,CHN,2021,6.44897518024316
PA.NUS.FCRF,CHN,2020,6.90076726944924
PA.NUS.FCRF,CHN,2019,6.90838500992901
PA.NUS.FCRF,CHN,2018,6.61595717735439
PA.NUS.FCRF,DEU,2024,0.923889546117607
PA.NUS.FCRF,DEU,2023,0.924839558470698
PA.NUS.FCRF,DEU,2022,0.949623753156941
PA.NUS.FCRF,DEU,2021,0.84549413889045
PA.NUS.FCRF,DEU,2020,0.875506396987998
PA.NUS.FCRF,DEU,2019,0.893276257067409
PA.NUS.FCRF,DEU,2018,0.846772667108111
PA.NUS.FCRF,GBR,2024,0.782414580986262
PA.NUS.FCRF,GBR,2023,0.804538906734353
PA.NUS.FCRF,GBR,2022,0.811301715827773
PA.NUS.FCRF,GBR,2021,0.727064944688323
PA.NUS.FCRF,GBR,2020,0.779999576697153
PA.NUS.FCRF,GBR,2019,0.783445110011929
PA.NUS.FCRF,GBR,2018,0.749531540259847
PA.NUS.FCRF,IND,2024,83.669281580941
PA.NUS.FCRF,IND,2023,82.5992764460784
PA.NUS.FCRF,IND,2022,78.6044905829916
PA.NUS.FCRF,IND,2021,73.9180128154351
PA.NUS.FCRF,IND,2020,74.0995668836052
PA.NUS.FCRF,IND,2019,70.4203405359551
PA.NUS.FCRF,IND,2018,68.3894670935422
PA.NUS.FCRF,MEX,2024,18.3048583333333
PA.NUS.FCRF,MEX,2023,17.7587166666667
PA.NUS.FCRF,MEX,2022,20.12735
PA.NUS.FCRF,MEX,2021,20.2724083333333
PA.NUS.FCRF,MEX,2020,21.4856083333333
PA.NUS.FCRF,MEX,2019,19.2636333333333
PA.NUS.FCRF,MEX,2018,19.2443416666667
PA.NUS.FCRF,USA,2024,1.0
PA.NUS.FCRF,USA,2023,1.0
PA.NUS.FCRF,USA,2022,1.0
PA.NUS.FCRF,USA,2021,1.0
PA.NUS.FCRF,USA,2020,1.0
PA.NUS.FCRF,USA,2019,1.0
PA.NUS.FCRF,USA,2018,1.0
