pais,n_artigos
US,1152
CN,981
GB,736
ID,477
IN,321
DE,311
ES,268
IT,263
AU,256
CA,241
NL,225
TR,189
FR,184
MY,178
SA,170
PK,150
BR,129
UA,120
CH,119
PL,119
