Date,ALSO3.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2017-01-02,,12.203437805175781,,,2.85109543800354,,,,2.009660243988037,8.034880638122559,,6.974190711975098
2017-01-03,,12.63770866394043,,,2.9761126041412354,,,,2.030963659286499,8.19312858581543,,7.3319172859191895
2017-01-04,,13.036888122558594,,,2.9934773445129395,,,,2.0877737998962402,8.36630916595459,,7.287569522857666
2017-01-05,,12.773693084716797,,,3.021256446838379,,,,2.0877737998962402,8.273746490478516,,7.326003551483154
2017-01-06,,12.576297760009766,,,3.0108399391174316,,,,2.0522677898406982,8.118481636047363,,7.09835958480835
2017-01-09,,12.861424446105957,,,3.042092800140381,,,,2.0664703845977783,8.231945037841797,,7.12792444229126
2017-01-10,,12.966702461242676,,,3.021256446838379,,,,2.038064956665039,8.160285949707031,,7.1367926597595215
2017-01-11,,12.593844413757324,,,3.042092800140381,,,,1.9954570531845093,8.29763412475586,,7.107229709625244
2017-01-12,,12.45785903930664,,,3.1254398822784424,,,,1.9954570531845093,8.267778396606445,,7.2491374015808105
2017-01-13,,11.95340633392334,,,3.0941848754882812,,,,2.023862600326538,8.151328086853027,,7.361480712890625
2017-01-16,,11.865670204162598,,,3.0941848754882812,,,,2.059368848800659,7.98113489151001,,7.464955806732178
2017-01-17,,12.041136741638184,,,3.156691789627075,,,,2.3931286334991455,7.793026447296143,,7.58616828918457
2017-01-18,,11.957792282104492,,,3.1393299102783203,,,,2.194293260574341,7.754210472106934,,7.645298004150391
2017-01-19,,11.922698020935059,,,3.1358566284179688,,,,2.1374831199645996,7.715395450592041,,7.53886604309082
2017-01-20,,11.988496780395508,,,3.1705844402313232,,,,2.315014600753784,7.763169288635254,,7.689645767211914
2017-01-23,,12.15518856048584,,,3.2504570484161377,,,,2.485445261001587,7.954263687133789,,7.790163516998291
2017-01-24,,12.001656532287598,,,3.212257146835327,,,,2.3931286334991455,7.98113489151001,,7.867027759552002
2017-01-26,,12.370129585266113,,,3.2261476516723633,,,,2.3434197902679443,8.211042404174805,,8.100584983825684
2017-01-27,,12.62016487121582,,,3.2226736545562744,,,,2.4073312282562256,8.225973129272461,,8.026678085327148
2017-01-30,,12.413993835449219,,,3.1844749450683594,,,,2.315014600753784,8.031891822814941,,7.772422790527344
2017-01-31,,12.242918014526367,,,3.2226736545562744,,,,2.4144325256347656,7.846772193908691,,7.713291645050049
2017-02-01,,12.13325309753418,,,3.236565113067627,,,,2.478343963623047,7.900516510009766,,7.731032371520996
2017-02-02,,12.190279960632324,,,3.23309326171875,,,,2.3860273361206055,8.010993957519531,,7.834506988525391
2017-02-03,,12.120091438293457,,,3.2956018447875977,,,,2.492546558380127,7.891559600830078,,7.840421676635742
2017-02-06,,12.295557975769043,,,3.246983289718628,,,,2.577761650085449,7.682552814483643,,7.855203151702881
2017-02-07,,12.256078720092773,,,3.2921297550201416,,,,2.457040309906006,7.6885247230529785,,7.822680950164795
2017-02-08,,12.063067436218262,,,3.3199105262756348,,,,2.54935622215271,7.745254039764404,,7.9025068283081055
2017-02-09,,12.080615997314453,,,3.3442180156707764,,,,2.4641411304473877,7.646721839904785,,7.790163516998291
2017-02-10,,12.093777656555176,,,3.375474214553833,,,,2.563559055328369,7.6377644538879395,,7.597993850708008
2017-02-13,,12.514884948730469,,,3.36852765083313,,,,2.5848631858825684,8.031891822814941,,7.562518119812012
2017-02-14,,12.352581977844238,,,3.3546364307403564,,,,2.755293846130371,8.031891822814941,,7.544779300689697
2017-02-15,,12.655257225036621,,,3.483128070831299,,,,2.790799856185913,8.372279167175293,,7.784250736236572
2017-02-16,,12.940383911132812,,,3.4727087020874023,,,,2.797901153564453,8.646976470947266,,7.642340183258057
2017-02-17,,12.982407569885254,,,3.5282726287841797,,,,2.8618128299713135,8.530529022216797,,7.657123565673828
2017-02-20,,13.009510040283203,,,3.5768916606903076,,,,3.025142192840576,8.426025390625,,7.518172264099121
2017-02-21,,13.276023864746094,,,3.660186529159546,,,,2.8831162452697754,8.551429748535156,,7.450173854827881
2017-02-22,,13.244403839111328,,,3.6779568195343018,,,,2.8405089378356934,8.682804107666016,,7.391044616699219
2017-02-23,,13.244403839111328,,,3.6317596435546875,,,,2.826306104660034,8.727592468261719,,7.391044616699219
2017-02-24,,12.928199768066406,,,3.5677943229675293,,,,2.8760154247283936,8.629060745239258,,7.491562843322754
2017-03-01,,12.83785629272461,,,3.555339813232422,,,,2.8334076404571533,8.614131927490234,,7.668948173522949
2017-03-02,,13.072751998901367,,,3.512632369995117,,,,2.8121039867401123,8.623087882995605,,7.742859840393066
2017-03-03,,13.370885848999023,,,3.555339813232422,,,,2.975433111190796,8.876885414123535,,7.887723922729492
2017-03-06,,13.303129196166992,,,3.5838112831115723,,,,3.067749500274658,8.838068008422852,,7.955721378326416
2017-03-07,,13.167607307434082,,,3.530428409576416,,,,2.961230754852295,8.882857322692871,,8.304577827453613
2017-03-08,,13.000476837158203,,,3.4628078937530518,,,,3.010938882827759,8.811197280883789,,8.32231616973877
2017-03-09,,13.018543243408203,,,3.430776834487915,,,,2.9115216732025146,8.79626750946045,,7.9882426261901855
2017-03-10,,13.0953369140625,,,3.4450135231018066,,,,2.8476102352142334,8.823139190673828,,8.071022987365723
2017-03-13,,13.032097816467285,,,3.494838237762451,,,,2.8831162452697754,8.847024917602539,,8.053281784057617
2017-03-14,,13.099854469299316,,,3.455690383911133,,,,2.9470279216766357,8.763423919677734,,8.041455268859863
2017-03-15,,13.307644844055176,,,3.544663667678833,,,,2.996736764907837,8.897783279418945,,8.242494583129883
2017-03-16,,13.619327545166016,,,3.544663667678833,,,,2.9115216732025146,8.897783279418945,,8.283881187438965
2017-03-17,,13.257955551147461,,,3.477043390274048,,,,2.528053045272827,8.449911117553711,,8.334142684936523
2017-03-20,,13.099854469299316,,,3.4699249267578125,,,,2.449939012527466,8.390192985534668,,8.464225769042969
2017-03-21,,12.995959281921387,,,3.3489232063293457,,,,2.279508352279663,8.327491760253906,,8.366662979125977
2017-03-22,,13.303129196166992,,,3.4343373775482178,,,,2.442837953567505,8.396163940429688,,8.207016944885254
2017-03-23,,13.140506744384766,,,3.4058661460876465,,,,2.499647855758667,8.524557113647461,,8.21884536743164
2017-03-24,,13.1043701171875,,,3.4378960132598877,,,,2.4286351203918457,8.390192985534668,,8.254317283630371
2017-03-27,,12.81527042388916,,,3.4699249267578125,,,,2.442837953567505,8.390192985534668,,8.13015079498291
2017-03-28,,12.941750526428223,,,3.4450135231018066,,,,2.54935622215271,8.449911117553711,,8.118319511413574
2017-03-29,,13.276023864746094,,,3.477043390274048,,,,2.471242666244507,8.512614250183105,,7.911372661590576
2017-03-30,,13.303129196166992,,,3.4343373775482178,,,,2.485445261001587,8.602188110351562,,8.059194564819336
2017-03-31,,13.190196990966797,,,3.380953073501587,,,,2.485445261001587,8.482757568359375,,8.204060554504395
2017-04-03,,13.194713592529297,,,3.4094247817993164,,,,2.471242666244507,8.62010383605957,,8.292752265930176
2017-04-04,,13.212779998779297,,,3.455690383911133,,,,2.4144325256347656,8.74551010131836,,8.33709716796875
2017-04-05,,12.991437911987305,,,3.4165422916412354,,,,2.3718247413635254,8.599201202392578,,8.307534217834473
2017-04-06,,12.955304145812988,,,3.3702762126922607,,,,2.3860273361206055,8.62607479095459,,8.307534217834473
2017-04-07,,13.086299896240234,,,3.388071060180664,,,,2.3434197902679443,8.614131927490234,,8.260231971740723
2017-04-10,,12.828821182250977,,,3.4023072719573975,,,,2.4286351203918457,8.58427619934082,,8.230668067932129
2017-04-11,,12.968854904174805,,,3.4165422916412354,,,,2.478343963623047,8.58427619934082,,8.307534217834473
2017-04-12,,12.83785629272461,,,3.398749351501465,,,,2.4641411304473877,8.643991470336914,,8.277970314025879
2017-04-13,,12.684270858764648,,,3.3133344650268555,,,,2.485445261001587,8.524557113647461,,8.289793968200684
