,count,mean,std,min,25%,50%,75%,max
market_cap,10.0,28865376451.2,49079472941.209,271061600.0,1511066336.0,3421795456.0,29765910272.0,150846668800.0
total_debt,10.0,2363922197.6,3906211678.307,0.0,173355496.0,898166976.0,2153392640.0,12652000256.0
total_equity,0.0,,,,,,,
debt_to_equity,9.0,106.405,228.92,3.163,5.237,15.248,83.447,710.175
current_ratio,10.0,1.886,0.51,1.136,1.635,1.82,2.308,2.653
interest_coverage,0.0,,,,,,,
beta,10.0,0.248,0.172,-0.025,0.138,0.22,0.364,0.52
